Transaction ID,Posting Date,Effective Date,Transaction Type,Amount,Check Number,Reference Number,Description,Transaction Category,Type,Balance,Memo,Extended Description
,7/4/2023,,Debit,-100,,60984731,Instacopy,Printing,Debit Card,13.04,,Debit Card purchase INSTA COPY 5943 LAS CRUCES NM
,7/4/2023,,Debit,-46.05,,60983362,Kona Grill,Restaurants & Dining,Debit Card,113.04,,Debit Card purchase KONA GRILL - EL PASO 5812 EL PASO TX
,7/3/2023,,Debit,-5.84,,60983361,Menchie's Frozen Yogurt,Restaurants & Dining,Debit Card,159.09,,Debit Card purchase MENCHIES - MENB704 5814 EL PASO TX
,7/3/2023,,Debit,-26.23,,60948983,Supercuts,Personal Care & Fitness,Debit Card,164.93,,Debit Card purchase SUPERCUTS 7298 LAS CRUCES NM
,7/3/2023,,Credit,98.25,,60928315,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,191.16,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,7/3/2023,,Debit,-48.09,,60922414,Speedway,Gasoline/Fuel,Debit Card,92.91,,Debit Card purchase SPEEDWAY 09128 1685 E. UN 5542 LAS CRUCES NM
,7/2/2023,,Debit,-15.48,,60922413,Taqueria El Cometa,Restaurants & Dining,Debit Card,141,,Debit Card purchase TAQUERIA EL COMETA 5812 EL PASO TX
,7/2/2023,,Credit,54.04,,60892313,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,156.48,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,6/29/2023,,Debit,-11.62,,60750449,Wendy's,Restaurants & Dining,Debit Card,102.44,,POS Card purchase WENDY'S 8028 5814 565 WALTON BLVD LAS CRUCES NM
,6/29/2023,,Credit,95,,60726696,ATM Deposit CU ANYTIME XX 1715 EAST UNIVERSITY LAS CRUCES NM,Deposits,,114.06,,ATM Deposit CU ANYTIME 6011 1715 EAST UNIVERSITY LAS CRUCES NM
,6/29/2023,,Debit,-30.03,,60726695,Circle K,Groceries,Debit Card,19.06,,POS Card purchase CIRCLE K # 09665 5542 LAS CRUCES NM
,6/29/2023,,Debit,-3.49,,60691956,Circle K,Groceries,Debit Card,49.09,,Debit Card purchase CIRCLE K # 09672 5541 LAS CRUCES NM
,6/27/2023,,Debit,-25.82,,60691955,Planet Fitness,Personal Care & Fitness,,52.58,,Bill payment Withdrawal ABC*PLANET FITNESS 7997 575-5227867 NM
,6/27/2023,,Debit,-51.41,,60691954,HOSTINGER.COM 5734 LARNAKA CY,Online Services,Debit Card,78.4,,Debit Card purchase HOSTINGER.COM 5734 LARNAKA CY
,6/27/2023,,Debit,-10.17,,60691953,HOSTINGER.COM 5734 LARNAKA CY,Online Services,Debit Card,129.81,,Debit Card purchase HOSTINGER.COM 5734 LARNAKA CY
,6/26/2023,,Debit,-2.25,,60550385,Aggie Car Wash,Automotive Expenses,Debit Card,139.98,,Debit Card purchase AGGIE CARWASH 7542 LAS CRUCES NM
,6/25/2023,,Debit,-21.83,,60550384,AutoZone,Automotive Expenses,Debit Card,142.23,,POS Card purchase AUTOZONE 5677 5533 1203 EAST LOHMAN A LAS CRUCES NM
,6/25/2023,,Credit,200,,60482669,Online banking Deposit Transfer from S0000,Deposits,Transfer,164.06,,Online banking Deposit Transfer from S0000
,6/20/2023,,Debit,-30,,60482626,Planet Fitness Service Charges/Fees,Service Charges & Fees,Fees,-35.94,,Fee Withdrawal COMPANY: PLANET FIT ENTRY: CLUB FEES 575-522-7867 ISAIAH MALCOM - NSF Fee
,6/20/2023,,Debit,-8.11,,60482625,Starbucks,Restaurants & Dining,Debit Card,-5.94,,Debit Card purchase STARBUCKS STORE 02774 5814 LAS CRUCES NM
,6/20/2023,,Debit,-27.52,,60482624,Chevron,Gasoline/Fuel,Debit Card,2.17,,Debit Card purchase CHEVRON 0075976 5542 SOCORRO NM
,6/18/2023,,Debit,-5.38,,60099376,The Home Depot,Home Supplies,Debit Card,29.69,,POS Card purchase NST THE HOME DEPOT 000080 5200 225 TELSHORE BLVD LAS CRUCES NM
,6/18/2023,,Debit,-21.63,,60099377,Adobe Creative Cloud,Online Services,,35.07,,Bill payment Withdrawal ADOBE *CREATIVE CLOUD 5734 408-536-6000 CA
,6/17/2023,,Debit,-11.99,,60072966,HOSTINGER.COM 5734 LARNAKA CY,Online Services,Debit Card,56.7,,Debit Card purchase HOSTINGER.COM 5734 LARNAKA CY
,6/17/2023,,Debit,-5,,60072965,Aggie Car Wash,Automotive Expenses,Debit Card,68.69,,Debit Card purchase AGGIE CARWASH 7542 LAS CRUCES NM
,6/15/2023,,Debit,-154.69,,59950163,AutoZone,Automotive Expenses,Debit Card,73.69,,POS Card purchase AUTOZONE 02523 5533 2940 N MAIN ST LAS CRUCES NM
,6/15/2023,,Debit,-20,,59946076,Online banking Withdrawal Transfer to LXX00 - Credit Card,Credit Card Payments,Transfer,228.38,,Online banking Withdrawal Transfer to L0100 - Credit Card Payment
,6/15/2023,,Credit,196.5,,59946077,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,248.38,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,6/15/2023,,Credit,32.05,,59945141,Uber,Travel & Commute,,51.88,,POS Deposit UBER UBER 182 6051 SAN FRANCISCO CA
,6/14/2023,,Debit,-51.1,,59907542,Sprouts Farmers Market,Groceries,Debit Card,19.83,,Debit Card purchase SPROUTS FARMERS MAR 5411 LAS CRUCES NM
,6/14/2023,,Debit,-4.12,,59900038,Sam's Club,Shopping,Debit Card,70.93,,POS Card purchase SAMSCLUB #4784 5411 2711 NORTH TELSHORE BLV LAS CRUCES NM
,6/14/2023,,Debit,-30.75,,59894582,Sam's Club,Shopping,Debit Card,75.05,,POS Card purchase SAMSCLUB #4784 5542 2711 NORTH TELSHORE BLV LAS CRUCES NM
,6/14/2023,,Debit,-4.75,,59893779,Aggie Car Wash,Automotive Expenses,Debit Card,105.8,,Debit Card purchase AGGIE CARWASH 7542 LAS CRUCES NM
,6/14/2023,,Debit,-11.2,,59893778,McDonald's,Restaurants & Dining,Debit Card,110.55,,Debit Card purchase MCDONALD'S F20533 5814 LAS CRUCES NM
,6/13/2023,,Debit,-9.72,,59846155,Walmart,Shopping,Debit Card,121.75,,POS Card purchase WAL-MART #0806 5411 571 WALTON BLVD LAS CRUCES NM
,6/13/2023,,Credit,100.49,,59845683,Uber,Travel & Commute,,131.47,,POS Deposit UBER UBER 182 6051 SAN FRANCISCO CA
,6/13/2023,,Debit,-200,,59820899,Online banking Withdrawal Transfer to LXX00 - Credit Card,Credit Card Payments,Transfer,30.98,,Online banking Withdrawal Transfer to L0100 - Credit Card Payment
,6/13/2023,,Debit,-12,,59820839,Whataburger,Restaurants & Dining,Debit Card,230.98,,Debit Card purchase WHATABURGER 436 Q26 5814 EL PASO TX
,6/13/2023,,Debit,-9.2,,59820838,Starbucks,Restaurants & Dining,Debit Card,242.98,,Debit Card purchase STARBUCKS STORE 17330 5814 EL PASO TX
,6/13/2023,,Credit,250,,59820841,ACH Deposit COMPANY: VENMO ENTRY: CASHOUT ISAIAH MALCOM,Transfers,ACH,252.18,,ACH Deposit COMPANY: VENMO ENTRY: CASHOUT ISAIAH MALCOM
,6/13/2023,,Debit,-42.92,,59820840,Speedway,Gasoline/Fuel,Debit Card,2.18,,Debit Card purchase SPEEDWAY 09844 7900 ARTCR 5542 EL PASO TX
,6/13/2023,,Credit,0.09,,59820837,Deposit Transfer from SXX00 - Overdraft Transfer,Transfers,Transfer,45.1,,Deposit Transfer from S0000 - Overdraft Transfer
,6/13/2023,,Debit,-80,,59800782,Online banking Withdrawal Transfer to LXX00 - Credit Card,Credit Card Payments,Transfer,45.01,,Online banking Withdrawal Transfer to L0100 - Credit Card Payment
,6/13/2023,,Debit,-10.87,,59800778,Amazon,Shopping,Debit Card,125.01,,Debit Card purchase PRIME VIDEO CHANNELS 5818 AMZN.COM/BILL WA
,6/12/2023,,Credit,95.77,,59777673,Uber,Travel & Commute,,135.88,,POS Deposit UBER UBER 182 6051 SAN FRANCISCO CA
,6/11/2023,,Debit,-12.67,,59720848,Panda Express,Restaurants & Dining,Debit Card,40.11,,Debit Card purchase PANDA EXPRESS #2342 5814 EL PASO TX
,6/11/2023,,Debit,-1.5,,59720853,Brown Bag Deli,Restaurants & Dining,Debit Card,52.78,,Debit Card purchase BROWN BAG DELI 5812 ALAMOGORDO NM
,6/11/2023,,Debit,-7.11,,59720852,Brown Bag Deli,Restaurants & Dining,Debit Card,54.28,,Debit Card purchase BROWN BAG DELI 5812 ALAMOGORDO NM
,6/10/2023,,Debit,-44.72,,59720847,Shell,Gasoline/Fuel,Debit Card,61.39,,POS Card purchase SHELL SERVICE STATION 5542 ALAMOGORDO NM
,6/10/2023,,Debit,-3.25,,59720851,Aggie Car Wash,Automotive Expenses,Debit Card,106.11,,Debit Card purchase AGGIE CARWASH 7542 LAS CRUCES NM
,6/10/2023,,Debit,-18.14,,59720850,TST* ANGRY OWL 5812 EL PASO TX,Restaurants & Dining,Debit Card,109.36,,Debit Card purchase TST* ANGRY OWL 5812 EL PASO TX
,6/10/2023,,Debit,-10.66,,59720846,YouTube Music,Entertainment,Debit Card,127.5,,Debit Card purchase GOOGLE *YOUTUBE MUSIC 7829 G.CO/HELPPAY# CA
,6/10/2023,,Debit,-9.22,,59720849,Square,Online Services,Debit Card,138.16,,Debit Card purchase SQ *HABIT@T BOBA TEA 5499 CANUTILLO TX
,6/10/2023,,Debit,-4.87,,59662798,Burritos Victoria,Restaurants & Dining,Debit Card,147.38,,Debit Card purchase BURRITOS VICTORIA 5812 LAS CRUCES NM
,6/9/2023,,Credit,147.38,,59639089,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,152.25,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,6/9/2023,,Debit,-5.25,,59639088,Aggie Car Wash,Automotive Expenses,Debit Card,4.87,,Debit Card purchase AGGIE CARWASH 7542 LAS CRUCES NM
,6/9/2023,,Credit,0.79,,59639087,Deposit Transfer from SXX00 - Overdraft Transfer,Transfers,Transfer,10.12,,Deposit Transfer from S0000 - Overdraft Transfer
,6/9/2023,,Debit,-39.99,,59627026,Payment to Comcast,Cable & Satellite,,9.33,,Bill payment Withdrawal COMCAST CABLE COMM 4899 800-COMCAST CO
,6/9/2023,,Debit,-2.6,,59627025,CROSSROADS PRINTING 2741 EL PASO TX,Printing,Debit Card,49.32,,Debit Card purchase CROSSROADS PRINTING 2741 EL PASO TX
,6/8/2023,,Debit,-11.14,,59627024,Wendy's,Restaurants & Dining,Debit Card,51.92,,POS Card purchase WENDY'S 3728 5814 7453 N MESA ST EL PASO TX
,6/8/2023,,Debit,-8.44,,59588268,Starbucks,Restaurants & Dining,Debit Card,63.06,,Debit Card purchase STARBUCKS STORE 02774 5814 LAS CRUCES NM
,6/7/2023,,Debit,-32.1,,59554289,Spotted Dog Brewery,Restaurants & Dining,Debit Card,71.5,,Debit Card purchase SPOTTED DOG BREWERY 5812 LAS CRUCES NM
,6/7/2023,,Debit,-1,,59525527,ARCADE GAME 5814 EDMOND OK,Entertainment,Debit Card,103.6,,Debit Card purchase ARCADE GAME 5814 EDMOND OK
,6/7/2023,,Debit,-1,,59525526,ARCADE GAME 5814 EDMOND OK,Entertainment,Debit Card,104.6,,Debit Card purchase ARCADE GAME 5814 EDMOND OK
,6/6/2023,,Credit,100,,59494717,Deposit,Deposits,Deposit,105.6,,Deposit
,6/6/2023,,Debit,-13,,59465345,Chevron,Gasoline/Fuel,Debit Card,5.6,,Debit Card purchase CHEVRON 0204989 5542 LAS CRUCES NM
,6/5/2023,,Debit,-16.01,,59422388,Raising Cane's,Restaurants & Dining,Debit Card,18.6,,Debit Card purchase RAISING CANES 0340 5814 LAS CRUCES NM
,6/4/2023,,Credit,24.3,,59354213,Uber,Travel & Commute,,34.61,,POS Deposit UBER UBER 182 6051 SAN FRANCISCO CA
,6/4/2023,,Debit,-10.61,,59347365,McDonald's,Restaurants & Dining,Debit Card,10.31,,Debit Card purchase MCDONALD'S F20533 5814 LAS CRUCES NM
,6/2/2023,,Debit,-25.82,,59308561,Planet Fitness,Personal Care & Fitness,,20.92,,Bill payment Withdrawal ABC*PLANET FITNESS 7997 575-5227867 NM
,6/2/2023,,Debit,-7.42,,59308560,McDonald's,Restaurants & Dining,Debit Card,46.74,,POS Card purchase MCDONALD'S F20533 5814 1751 E UNIVERSITY AVE LAS CRUCES NM
,6/2/2023,,Debit,-16.72,,59261722,Raising Cane's,Restaurants & Dining,Debit Card,54.16,,Debit Card purchase RAISING CANES 0340 5814 LAS CRUCES NM
,6/1/2023,,Debit,-32.49,,59261721,Salud! De Mesilla,Restaurants & Dining,Debit Card,70.88,,Debit Card purchase TST* SALUD DE MESILLA 5812 LAS CRUCES NM
,5/31/2023,,Debit,-30.17,,59111013,Circle K,Groceries,Debit Card,103.37,,POS Card purchase CIRCLE K # 41289 5542 LAS CRUCES NM
,5/30/2023,,Debit,-4.48,,59101297,Shortys,Restaurants & Dining,Debit Card,133.54,,Debit Card purchase SHORTYS IN MESILLA 5541 LAS CRUCES NM
,5/30/2023,,Debit,-11.67,,59101296,Wendy's,Restaurants & Dining,Debit Card,138.02,,POS Card purchase WENDY'S 8028 5814 565 WALTON BLVD LAS CRUCES NM
,5/30/2023,,Credit,98.25,,59021338,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,149.69,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,5/30/2023,,Debit,-10.6,,59018148,Starbucks,Restaurants & Dining,Debit Card,51.44,,Debit Card purchase STARBUCKS STORE 02774 5814 LAS CRUCES NM
,5/30/2023,,Debit,-19.47,,59018150,MCW#x386-LUJAN 7542 LAS CRUCES NM,Restaurants & Dining,Debit Card,62.04,,Debit Card purchase MCW#0386-LUJAN 7542 LAS CRUCES NM
,5/30/2023,,Debit,-15.23,,59018149,Circle K,Groceries,Debit Card,81.51,,Debit Card purchase CIRCLE K # 09681 5542 LAS CRUCES NM
,5/29/2023,,Debit,-13.08,,58976327,Whataburger,Restaurants & Dining,Debit Card,96.74,,Debit Card purchase WHATABURGER 421 Q26 5814 MESA AZ
,5/29/2023,,Debit,-6.44,,58976326,Starbucks,Restaurants & Dining,Debit Card,109.82,,Debit Card purchase STARBUCKS STORE 23472 5814 MESA AZ
,5/29/2023,,Debit,-4.09,,58976325,Chevron,Gasoline/Fuel,Debit Card,116.26,,Debit Card purchase CHEVRON 0352231 5541 APACHE JUNCTI AZ
,5/29/2023,,Debit,-41.03,,58976324,Chevron,Gasoline/Fuel,Debit Card,120.35,,Debit Card purchase CHEVRON 0352231 5542 APACHE JUNCTI AZ
,5/28/2023,,Debit,-23.64,,58976323,IHOP,Restaurants & Dining,Debit Card,161.38,,Debit Card purchase IHOP 1508 5812 PHOENIX AZ
,5/27/2023,,Debit,-4.69,,58927898,BUTTERFIELD STATION TRAVE 5499 DEMING NM,Gasoline/Fuel,Debit Card,185.02,,Debit Card purchase BUTTERFIELD STATION TRAVE 5499 DEMING NM
,5/27/2023,,Debit,-17.78,,58927897,Whataburger,Restaurants & Dining,Debit Card,189.71,,Debit Card purchase WHATABURGER 785 5814 LAS CRUCES NM
,5/27/2023,,Debit,-7.13,,58927896,Starbucks,Restaurants & Dining,Debit Card,207.49,,Debit Card purchase STARBUCKS STORE 53805 5814 TEMPE AZ
,5/27/2023,,Debit,-96.19,,58880701,Jiffy Lube,Automotive Expenses,Debit Card,214.62,,Debit Card purchase JIFFY LUBE #2944 7538 LAS CRUCES NM
,5/27/2023,,Debit,-5,,58880700,Walgreens,Healthcare & Pharmacy,Debit Card,310.81,,POS Card purchase WALGREENS STORE 204 E BEL 5912 PHOENIX AZ
,5/26/2023,,Debit,-31.68,,58872484,Marathon Petroleum,Gasoline/Fuel,Debit Card,315.81,,POS Card purchase MARATHON P 5542 3890 GAGE STATION US DEMING NM
,5/26/2023,,Debit,-48.8,,58872483,Supercuts,Personal Care & Fitness,Debit Card,347.49,,Debit Card purchase SUPERCUTS 7298 LAS CRUCES NM
,5/26/2023,,Credit,343.88,,58843949,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,396.29,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,5/26/2023,,Credit,49.13,,58830880,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,52.41,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,5/22/2023,,Debit,-12.32,,58661753,Whataburger,Restaurants & Dining,Debit Card,3.28,,Debit Card purchase WHATABURGER 465 5814 LAS CRUCES NM
,5/22/2023,,Debit,-16.31,,58661752,Amazon,Shopping,,15.6,,Bill payment Withdrawal AMAZON PRIME*S773B8SU3 5968 AMZN.COM/BILL WA
,5/21/2023,,Debit,-4.1,,58591471,Corner Bakery Cafe,Restaurants & Dining,Debit Card,31.91,,Debit Card purchase CORNER BAKERY CAFE 1565 5812 LAS CRUCES NM
,5/18/2023,,Debit,-11.99,,58550040,HOSTINGER.COM 5734 LARNAKA CY,Online Services,Debit Card,36.01,,Debit Card purchase HOSTINGER.COM 5734 LARNAKA CY
,5/18/2023,,Credit,48,,58465973,Online banking Deposit Transfer from S0000,Transfers,Transfer,48,,Online banking Deposit Transfer from S0000
,5/18/2023,,Debit,-21.63,,58465931,Adobe,Online Services,,0,,"Bill payment Withdrawal ADOBE 5817 PARK AVENUE,345 SAN JOSE CA"
,5/18/2023,,Credit,51.12,,58465929,Deposit Transfer from SXX00 - Overdraft Transfer,Transfers,Transfer,21.63,,Deposit Transfer from S0000 - Overdraft Transfer
,5/17/2023,,Debit,-30,,58391904,Planet Fitness Service Charges/Fees,Service Charges & Fees,Fees,-29.49,,Fee Withdrawal COMPANY: PLANET FIT ENTRY: CLUB FEES 575-522-7867 ISAIAH MALCOM - NSF Fee
,5/14/2023,,Debit,-15.11,,58391903,Speedway,Gasoline/Fuel,Debit Card,0.51,,POS Card purchase SPEEDWAY 5542 1685 E UNIVERSITY AVE LAS CRUCES NM
,5/14/2023,,Debit,-12.53,,58222514,Blake's Lotaburger,Restaurants & Dining,Debit Card,15.62,,Debit Card purchase BLAKE S LOTABURGER - 028 5814 LAS CRUCES NM
,5/13/2023,,Debit,-5.18,,58161789,Corner Bakery Cafe,Restaurants & Dining,Debit Card,28.15,,Debit Card purchase CORNER BAKERY CAFE 1565 5812 LAS CRUCES NM
,5/13/2023,,Debit,-10.87,,58161790,PRIME VIDEO*G61ZG5TI3 XX-3080 WA,Entertainment,Debit Card,33.33,,Debit Card purchase PRIME VIDEO*G61ZG5TI3 5818 888-802-3080 WA
,5/12/2023,,Debit,-8.44,,58131789,Starbucks,Restaurants & Dining,Debit Card,44.2,,Debit Card purchase STARBUCKS STORE 10747 5814 LAS CRUCES NM
,5/12/2023,,Debit,-3.77,,58100507,Corner Bakery Cafe,Restaurants & Dining,Debit Card,52.64,,Debit Card purchase CORNER BAKERY CAFE 1565 5812 LAS CRUCES NM
,5/11/2023,,Debit,-8.75,,58078316,Jack in the Box,Restaurants & Dining,Debit Card,56.41,,Debit Card purchase JACK IN THE BOX 1258 5814 LAS CRUCES NM
,5/11/2023,,Debit,-36.03,,58062941,Lowe's,Home Supplies,Debit Card,65.16,,POS Card purchase LOWE'S #1158 5200 LAS CRUCES NM
,5/11/2023,,Debit,-29.71,,58062940,The Home Depot,Home Supplies,Debit Card,101.19,,POS Card purchase NST THE HOME DEPOT 000165 5200 225 TELSHORE BLVD LAS CRUCES NM
,5/10/2023,,Debit,-17.4,,58048150,Whataburger,Restaurants & Dining,Debit Card,130.9,,Debit Card purchase WHATABURGER 785 5814 LAS CRUCES NM
,5/10/2023,,Debit,-10.66,,58048149,YouTube Music,Entertainment,Debit Card,148.3,,Debit Card purchase GOOGLE *YOUTUBE MUSIC 7829 G.CO/HELPPAY# CA
,5/9/2023,,Debit,-39.99,,57984210,Payment to Comcast,Cable & Satellite,,158.96,,Bill payment Withdrawal COMCAST CABLE COMM 4899 800-COMCAST CO
,5/7/2023,,Credit,196.5,,57943456,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,198.95,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,4/30/2023,,Debit,-10.38,,57449343,Starbucks,Restaurants & Dining,Debit Card,2.45,,Debit Card purchase STARBUCKS STORE 11645 5814 LAS CRUCES NM
,4/28/2023,,Debit,-16.01,,57386381,Raising Cane's,Restaurants & Dining,Debit Card,12.83,,Debit Card purchase RAISING CANES 0340 5814 LAS CRUCES NM
,4/26/2023,,Debit,-16.01,,57258188,Raising Cane's,Restaurants & Dining,Debit Card,28.84,,Debit Card purchase RAISING CANES 0340 5814 LAS CRUCES NM
,4/25/2023,,Debit,-60,,57198405,Online banking Withdrawal Transfer to LXX00 - Credit Card,Credit Card Payments,Transfer,44.85,,Online banking Withdrawal Transfer to L0100 - Credit Card Payment
,4/25/2023,,Debit,-12.86,,57198351,Whataburger,Restaurants & Dining,Debit Card,104.85,,Debit Card purchase WHATABURGER 465 5814 LAS CRUCES NM
,4/25/2023,,Debit,-32.01,,57198350,GOOGLE *PLAY CONSOLE 5818 G.CO/HELPPAY# CA,Online Services,Debit Card,117.71,,Debit Card purchase GOOGLE *PLAY CONSOLE 5818 G.CO/HELPPAY# CA
,4/24/2023,,Credit,147.38,,57111039,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,149.72,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,4/22/2023,,Debit,-9.87,,57081363,Speedway,Gasoline/Fuel,Debit Card,2.34,,POS Card purchase SPEEDWAY 5541 1685 E UNIVERSITY AVE LAS CRUCES NM
,4/22/2023,,Debit,-8.22,,57041840,Starbucks,Restaurants & Dining,Debit Card,12.21,,Debit Card purchase STARBUCKS STORE 11645 5814 LAS CRUCES NM
,4/21/2023,,Debit,-19.47,,57041841,MCW#x386-LUJAN 7542 LAS CRUCES NM,Restaurants & Dining,Debit Card,20.43,,Debit Card purchase MCW#0386-LUJAN 7542 LAS CRUCES NM
,4/21/2023,,Debit,-11.97,,57012335,Sprouts Farmers Market,Groceries,Debit Card,39.9,,Debit Card purchase SPROUTS FARMERS MAR 5411 LAS CRUCES NM
,4/21/2023,,Debit,-32.45,,57012336,Udemy,Education,Debit Card,51.87,,Debit Card purchase UDEMY: ONLINE COURSES 8299 HTTPSWWW.UDEM CA
,4/21/2023,,Debit,-24.1,,56988999,Starbucks,Restaurants & Dining,Debit Card,84.32,,Debit Card purchase STARBUCKS STORE 10747 5814 LAS CRUCES NM
,4/21/2023,,Debit,-21.63,,56988998,AutoZone,Automotive Expenses,Debit Card,108.42,,Debit Card purchase AUTOZONE 05677 5533 LAS CRUCES NM
,4/20/2023,,Debit,-20.72,,56950321,Raising Cane's,Restaurants & Dining,Debit Card,130.05,,Debit Card purchase RAISING CANES 0340 5814 LAS CRUCES NM
,4/18/2023,,Debit,-16.72,,56839832,Raising Cane's,Restaurants & Dining,Debit Card,150.77,,Debit Card purchase RAISING CANES 0340 5814 LAS CRUCES NM
,4/17/2023,,Debit,-16.98,,56839831,HOSTINGER* HOSTINGER.C 7372 KAUNAS LT,Online Services,Debit Card,167.49,,Debit Card purchase HOSTINGER* HOSTINGER.C 7372 KAUNAS LT
,4/17/2023,,Debit,-1.17,,56839830,HOSTINGER.COM 5734 LARNAKA CY,Online Services,Debit Card,184.47,,Debit Card purchase HOSTINGER.COM 5734 LARNAKA CY
,4/17/2023,,Debit,-10.82,,56839829,Planet Fitness,Personal Care & Fitness,,185.64,,ACH Withdrawal COMPANY: PLANET FIT ENTRY: CLUB FEES 575-522-7867 ISAIAH MALCOM
,4/16/2023,,Credit,196.5,,56708511,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,196.46,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,4/13/2023,,Debit,-8.69,,56533231,PRIME VIDEO*HJ3DB5A52 XX-3080 WA,Entertainment,Debit Card,-0.04,,Debit Card purchase PRIME VIDEO*HJ3DB5A52 5818 888-802-3080 WA
,4/13/2023,,Debit,-2.89,,56533230,Circle K,Groceries,Debit Card,8.65,,Debit Card purchase CIRCLE K # 09672 5541 LAS CRUCES NM
,4/12/2023,,Debit,-17.64,,56533229,Los Mariachis Restaurant,Restaurants & Dining,Debit Card,11.54,,Debit Card purchase LOS MARIACHIS RESTAURANT 5812 LAS CRUCES NM
,4/12/2023,,Debit,-25.87,,56494646,CCSU FOOD CT 5814 LAS CRUCES NM,Groceries,Debit Card,29.18,,Debit Card purchase CCSU FOOD CT 5814 LAS CRUCES NM
,4/12/2023,,Debit,-19.99,,56494645,Payment to Comcast,Cable & Satellite,,55.05,,Bill payment Withdrawal COMCAST CABLE COMM 4899 800-COMCAST CO
,4/11/2023,,Debit,-10.6,,56442688,Panda Express,Restaurants & Dining,Debit Card,75.04,,Debit Card purchase PANDA EXPRESS #2206 5814 LAS CRUCES NM
,4/10/2023,,Debit,-15.49,,56442689,Netflix,Entertainment,,85.64,,Bill payment Withdrawal NETFLIX COM 4899 LOS GATOS CA
,4/10/2023,,Credit,100,,56380919,Online banking Deposit Transfer from S0000,Transfers,Transfer,101.13,,Online banking Deposit Transfer from S0000
,4/10/2023,,Debit,-10.66,,56366457,YouTube Music,Entertainment,Debit Card,1.13,,Debit Card purchase GOOGLE *YOUTUBE MUSIC 7829 G.CO/HELPPAY# CA
,4/5/2023,,Debit,-16.11,,56263116,AMZN MKTP US*HS7QB5DO0 5942 AMZN.COM/BILL WA,Shopping,Debit Card,11.79,,Debit Card purchase AMZN MKTP US*HS7QB5DO0 5942 AMZN.COM/BILL WA
,4/4/2023,,Debit,-49.88,,56085360,Amazon,Shopping,Debit Card,27.9,,POS Card purchase AMAZON.COM*HS4FN9TN1 4816 SEATTLE WA
,4/4/2023,,Debit,-12.01,,56069824,Raising Cane's,Restaurants & Dining,Debit Card,77.78,,Debit Card purchase RAISING CANES 0340 5814 LAS CRUCES NM
,4/3/2023,,Debit,-16.72,,56007072,Raising Cane's,Restaurants & Dining,Debit Card,89.79,,Debit Card purchase RAISING CANES 0299 5814 EL PASO TX
,4/3/2023,,Debit,-5.9,,56007069,Starbucks,Restaurants & Dining,Debit Card,106.51,,Debit Card purchase STARBUCKS STORE 61620 5814 EL PASO TX
,4/2/2023,,Debit,-8.19,,56007068,Walmart,Shopping,Debit Card,112.41,,POS Card purchase WAL-MART SUPER CENTER 5411 2201 WAL-SAMS EL PASO TX
,4/2/2023,,Debit,-35.38,,56007071,Speedway,Gasoline/Fuel,Debit Card,120.6,,POS Card purchase SPEEDWAY 5542 7301 NORTH LOOP EL PASO TX
,4/2/2023,,Credit,147.38,,56007070,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY,Transfers,,155.98,,Debit Deposit VENMO*MALCOM ISAIAH 4829 NEW YORK CITY NY
,4/1/2023,,Debit,-10.38,,55901173,Starbucks,Restaurants & Dining,Debit Card,8.6,,Debit Card purchase STARBUCKS STORE 11645 5814 LAS CRUCES NM
,4/1/2023,,Debit,-17.18,,55901172,Whataburger,Restaurants & Dining,Debit Card,18.98,,Debit Card purchase WHATABURGER 465 5814 LAS CRUCES NM
,3/30/2023,,Debit,-16.72,,55772659,Raising Cane's,Restaurants & Dining,Debit Card,36.16,,Debit Card purchase RAISING CANE'S #340 5814 LAS CRUCES NM
